supplier_sap_name;Supplier_ID;Main_Point_of _Contact;Main_HACAT;Responsible_Buyer;Preferred_for_HACAT;available_for_gpe_code;Preferred_for_COUNTRY
Medcon LLC;2300203;;;;[];RU;[]
Association of International Pharma;2302574;;;;[];RU;[]
Society of Pediatric Dermatologists;2320001;;;;[];RU;[]
Kemistry Creative LLC;2301727;smoykina@kemistry.ru;MK1013;Mikhailina Tatiana;MK1013 - DIGITAL MARKETING SERVICES,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL),CS5033 - SCIENTIFIC - SUBSCRIPTION, DATABASES, E-CONTENT, BOOKS AND GENERAL DOCS;RU;RU-RUSSIA
Onpoint LLC;2322621;a.mareeva@onpoint.ru;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);BY,RU;RU-RUSSIA
OOO Komus;2331385;bak07@komus.net;CS5004;Yaremenko Natalia;CS5004 - OFFICE PRODUCTS,CS5030 - INTEGRATED FACILITY MANAGEMENT;RU;RU-RUSSIA
Vivanti Ltd.;2301019;anastasiya.arakelyan@vivanti.eu;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
Loyalty Group LLC;2320695;;MK1015;Mikhailina Tatiana;MK1015 - COMMUNICATION AGENCIES PUBLIC RELATIONS AND PUBLIC AFFAIRS SERVICES,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL);RU;RU-RUSSIA
COFACTOR LLC;2308840;el@cofactor.ru;MK1013;Mikhailina Tatiana;MK1013 - DIGITAL MARKETING SERVICES,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
Corex LLC;2283621;maxim.zvezdarev@corex-depot.com;CD5003;Pakalo Grigroriy;CD5010 - EXTERNAL WAREHOUSE STORAGE,RD1035 - REGULATORY PRODUCT LIFE MAINTENANCE,RD1050 - CLINICAL TRIAL DISTRIBUTION,CD5003 - DOMESTIC TRANSPORTATION,CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS,CD4005 - QUALITY CONTROL SERVICES,RD2002 - LAB REAGENTS,RD2022 - LABORATORY CONSUMABLES,CS2006 - INDIVIDUAL GROUND TRANSPORTATION (TAXI, CAR RENTAL),RD1033 - CLINICAL ANCILLARY SUPPLIES AND DEVICES,RD1049 - COMPARATOR;RU;RU-RUSSIA
Vector-Logistics LLC;2320186;alon@vector-logistics.ru;RD1050;Pakalo Grigroriy;CD5008 - CUSTOM BROKERAGE FEES (FREIGHT),RD1050 - CLINICAL TRIAL DISTRIBUTION;RU;RU-RUSSIA
Learning Services LLC;2331933;nib@services-hr.ru;CS2014;Fridrikh Maria;CS2013 - STRATEGIC WORKFORCE PLANNING, OTHER HR PROJECTS,CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION,CS2018 - COMPENSATION STUDIES & EMPLOYEE BENEFIT PLANS;RU;RU-RUSSIA
RIM Ltd.;2311935;;;;[];RU;[]
FRAMINGHAM B V;2119037;evelien.enter@framingham.nl;MK5005;Mikhailina Tatiana;MK4004 - SCIENTIFIC PUBLICATIONS PRINTING AND THEIR REPRINT;BE,DK,RU,SE;SE-SWEDEN
LLC Center for the Organization of Business Commons;2282465;;;;[];RU;[]
RCO Professional Association;2309621;;;;[];RU;[]
RCO Scientific and Practical Cardiologists;2319693;;;;[];RU;[]
RBO Outpatient Doctor;2316226;;;;[];RU;[]
Advertising Media Ltd.;2276721;;;;[];RU;[]
World Courier LLC;2149257;olga.raskourajeva@worldcourier.ru;RD1050;Pakalo Grigroriy;RD1050 - CLINICAL TRIAL DISTRIBUTION;RU;RU-RUSSIA
Center of Business Technologies LLC;2313362;olesya.kolokolnikova@onlinecbt.ru;MK1013;Mikhailina Tatiana;MK5005 - MEDICAL COMMUNICATION,MK1013 - DIGITAL MARKETING SERVICES;RU;RU-RUSSIA
Non-profit organization Soyuz;2255370;;;;[];RU;[]
InfoMedPharmDialog;2047795;;;;[];RU;[]
LLC Russian Cardiology;2052406;;;;[];RU;[]
NRRO Association of Doctors of Privolzhsky;2319385;;;;[];RU;[]
Farmbroker LLC;2330744;;;Pakalo Grigroriy;RD1035 - REGULATORY PRODUCT LIFE MAINTENANCE,RD1038 - EPIDEMIOLOGY,RD1034 - REGULATORY SERVICES OPERATIONS,CS6006 - OUTSOURCED / SHARED SERVICES;RU;RU-RUSSIA
LLC RETAIL SERVICES;2332119;;MK3001;Mikhailina Tatiana;MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS);RU;RU-RUSSIA
LLC MEDICINE XXI CENTURY;2323268;;;;[];RU;[]
Speakergud Ltd.;2316580;;;;[];RU;[]
JSC MSCH Neftyanik;2026338;avasilenko@skbkontur.ru;CS4004;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS4005 - APPLICATIONS - IT SERVICES FOR PROJECTS,CS4002 - SOFTWARE ON PREMISE,CS4015 - SOFTWARE AS A SERVICE (SAAS);RU;RU-RUSSIA
LLC Decision;2332116;arthur.klepikov@radare.ru;MK4003;Mikhailina Tatiana;MK4003 - PRINTED PROMOTIONAL MATERIAL,CS5004 - OFFICE PRODUCTS,MK4001 - NON-PRINTED PROMOTIONAL & EDUCATION ITEMS;RU;RU-RUSSIA
Ipsos Comcon LLC;2149265;nadezhda.alexeeva@ipsos.com;MK3002;Mikhailina Tatiana;MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS),MK3002 - MARKET RESEARCH PRIMARY (AD HOC STUDIES);RU;RU-RUSSIA,FR-FRANCE
Sodexo EuroAsia LLC;2294654;Julia.SHIKUNOVA@ifcmgroup.ru;CS5030;Yaremenko Natalia;CS5035 - RECORD MANAGEMENT SERVICES,CD5011 - EXPRESS MAIL (DOMESTIC AND INTERNATIONAL),CS5025 - BUILDING MAINTENANCE FOR TERTIARY SITES,CS5030 - INTEGRATED FACILITY MANAGEMENT,CS5038 - LANDSCAPE SERVICES,CS5040 - SECURITY SYSTEMS AND EQUIPMENT,CS5004 - OFFICE PRODUCTS,CS5008 - SECURITY MANNED GUARDING AND RECEPTION SERVICES,CS5006 - ALL CLEANING SERVICES AND NON GMP CLEANING CONSUMABLES,CS5005 - INTERNAL FOOD SERVICES;RU;RU-RUSSIA
IP Yeshchenko Natalya Gennadievna;2320862;yeshenko-natalia@yandex.ru;CS2014;Fridrikh Maria;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION;RU;RU-RUSSIA
BusinessStandart LLC;2310185;;;;[];RU;[]
UFK in g. Moscow (FSI SID and NP l/s;2278206;;;;[];RU;[]
Ecoweist Group LLC;2306128;ecowaste2@gmail.com;CD5002;Pakalo Grigroriy;MC3009 - WASTE MANAGEMENT,CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS;RU;RU-RUSSIA
Pro-Security LLC;2281155;i.molkov@rauc-mail.ru;CS2014;Fridrikh Maria;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION;RU;RU-RUSSIA
Ignesko Ltd.;2269445;;;;[];RU;[]
Association of Pediatric Neuroologists Kaza;2326141;;;;[];RU;[]
Smok Travel Plus LLC;2328708;e.ahremchik@smoktravel.com;MK2003;Mikhailina Tatiana;MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2007 - EXTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2011 - INTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,CS2009 - TRAVEL AGENCY,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING,MK2010 - INTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2003 - EXTERNAL EVENTS - LOGISTIC AGENCY COSTS,CS2008 - INDIVIDUAL HOTEL AND OTHER LODGINGS;BY,RU;RU-RUSSIA,BY-BELARUS
Mellennium Ltd. E.M.C.;2301471;wp1@mltravel.ru;CS2009;Fridrikh Maria;CS2009 - TRAVEL AGENCY;RU;RU-RUSSIA
Mindbox LLC;2295637;veremeeva@mindbox.ru;CS4015;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS4002 - SOFTWARE ON PREMISE;RU;RU-RUSSIA
Delta Origin LLC;2233034;oae@deltaorigin.com;RD2002;Pakalo Grigroriy;RD2002 - LAB REAGENTS,RD2008 - SIMPLE LAB EQUIPMENT,RD2007 - LAB EQUIPMENT MAINTENANCE,RD2022 - LABORATORY CONSUMABLES,RD2009 - COMPLEX LAB EQUIPMENT;RU;RU-RUSSIA
LLC TD Himmed;2024954;yazenko@chimmed.ru;RD2002;Pakalo Grigroriy;RD2022 - LABORATORY CONSUMABLES,RD2002 - LAB REAGENTS,RD2008 - SIMPLE LAB EQUIPMENT,RD2009 - COMPLEX LAB EQUIPMENT;RU;RU-RUSSIA
LLC Russian Scientific Medical;2230475;;;;[];RU;[]
Safari Club LLC;2287777;;;;[];RU;[]
Premium Expo LLC;2284505;;;;[];RU;[]
Connect LLC;2329218;;CS5042;Yaremenko Natalia;[];RU;[]
Prima Loko LLC;2325747;;;;[];RU;[]
Media Norma LLC;2310992;;;;[];BY,RU;[]
POLYFORUM GROUP LLC;2323074;;;;[];RU;[]
Ayseo Ltd.;2318191;e.levushkina@iseo.ru;MK1017;Mikhailina Tatiana;MK1013 - DIGITAL MARKETING SERVICES,MK1017 - MEDIA BUY ONLINE/DIGITAL;RU;RU-RUSSIA
Sainz LLC;2327507;sofia.fedorova@appscience.ru;RD2002;Pakalo Grigroriy;RD2022 - LABORATORY CONSUMABLES,RD2002 - LAB REAGENTS,RD2008 - SIMPLE LAB EQUIPMENT;RU;RU-RUSSIA
UAB Intercity Service;2024961;j.ryabushenko@kmp.ru;MK2003;Mikhailina Tatiana;MK2011 - INTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,MK2003 - EXTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2007 - EXTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2010 - INTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING;RU;RU-RUSSIA
Aseeva Galina Vladimirovna;2273262;;;;[];RU;[]
All-Russian Public Org;2231367;;;;[];RU;[]
Postscriptum Ltd.;2148013;agl@post-scriptum.ru;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
Financial Chain Corporation;2317752;elekishvili@f-chain.com;CS6006;Fridrikh Maria;CS6006 - OUTSOURCED / SHARED SERVICES,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING,RD1034 - REGULATORY SERVICES OPERATIONS,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),CS2022 - MANAGED SERVICES & ALL PMO (EXCLUDING CAPEX, DIGITAL AND R&D), USING STANDARD EBUY PROCESS,CS5024 - REAL ESTATE LEASE,CS5036 - TRANSLATION,CS5004 - OFFICE PRODUCTS;RU;RU-RUSSIA,KZ-KAZAKHSTAN,GE-GEORGIA
Tema Co.;2057615;;;;[];RU;[]
Financial Chain Corporation;2317657;baku@f-chain.com;CS6006;Fridrikh Maria;RD1035 - REGULATORY PRODUCT LIFE MAINTENANCE,CS5024 - REAL ESTATE LEASE,CS5036 - TRANSLATION,CS6006 - OUTSOURCED / SHARED SERVICES,CS5004 - OFFICE PRODUCTS;RU;RU-RUSSIA,KZ-KAZAKHSTAN,AZ-AZERBAIJAN
VISTA FOREIGN BUSINESS SUPPORT LLC;2249485;lserova@vfbs.ru;CS2009;Fridrikh Maria;CS2009 - TRAVEL AGENCY;RU;RU-RUSSIA,BY-BELARUS
Interregional Public Org;2072473;;;;[];RU;[]
IP Sidorov Maxim Novich;2063491;maxim.n.sidorov@yandex.ru;CS5036;Yaremenko Natalia;CS5036 - TRANSLATION;RU;RU-RUSSIA
Mays Partner LLC;2245694;;;;[];RU;[]
Non-profit organization Associate;2327184;;;;[];RU;[]
Aslamova Sofya Aleksandrovna;2327564;;MK3001;Mikhailina Tatiana;[];RU;[]
Dominanta-Service LLC;2303077;stolin.igor@dominanta-logic.ru;CD5002;Pakalo Grigroriy;CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS;RU;RU-RUSSIA
NES LLC;2294495;;;;[];RU;[]
Asryan Grigoriy Melikovich;2292800;;;;[];RU;[]
European Information LLC;2312936;skuratova.o@euro-point.ru;CD5002;Pakalo Grigroriy;CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS;RU;RU-RUSSIA
OOO Altiora Forte, RB;2279408;afonenko@altiora.by;MK4003;Mikhailina Tatiana;MK4003 - PRINTED PROMOTIONAL MATERIAL;BY,RU;BY-BELARUS
BLAGO-Media LLC;2292833;;;;[];RU;[]
Orange Circle LLC;2026960;;;;[];RU;[]
SPbOO Man and his health;2298727;;;;[];RU;[]
LLC Pole.ru;2326455;shepotinenko.m@romir.ru;;;MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS);RU;RU-RUSSIA
SOYUZ-PROJECT LLC;2282405;;;;[];RU;[]
Education Assistance Center LLC;2328912;;;;[];RU;[]
ANO OMK;2329625;;;;[];RU;[]
Ernst & Young LLC;2102854;alexandra.brezhneva@ru.ey.com;CS6004;Yaremenko Natalia;CS6004 - COMPLIANCE AND FISCAL CONSULTING SERVICES;RU;RU-RUSSIA
Anikina Natalia;2323380;;;;[];RU;[]
Mediapact Ltd.;2234106;;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
Asribabayan Nora;2229604;;;;[];RU;[]
ООО МЕДПРОСВЕТ;2333675;;;;[];RU;[]
Anisimova Liliya;2312220;;;;[];RU;[]
OPTIMUM MEDIA LIMITED, Moscow;2326264;Maria.Khizhina@group-omd.com;MK1005;Mikhailina Tatiana;MK1005 - MEDIA BUYING AGENCY, MEDIA CONSULTANCY & MEDIA AUDIT FEES,MK1006 - MEDIA BUY TV,MK1017 - MEDIA BUY ONLINE/DIGITAL,MK1018 - MEDIA BUY PRINT & CONSUMER PROMOTIONS;RU;RU-RUSSIA
Association of national Scientific Community;2329500;;;;[];RU;[]
CHILDREN WITH DISABILITIES, SUGAR PATIENTS;2319862;;;;[];RU;[]
Nipro PharmaPackaging Germany;2303615;;CD3010;Levin Sergey;CD3010 - SYRINGES;RU;RU-RUSSIA
JSC ABDI Company Kostanay;2057631;e.rukhlova@aston-health.com;RD1041;Pakalo Grigroriy;RD1041 - CENTRAL LABS & BIOREPOSITORIES,MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS),MK3011 - PATIENTS, PHYSICIANS & PAYERS DATA (FOR COMMERCIAL & MEDICAL),MK3002 - MARKET RESEARCH PRIMARY (AD HOC STUDIES),MK6003 - MARKET ACCESS, PRICING & HEALTH ECONOMICS;RU;RU-RUSSIA
UFK in g. Moscow (MGSC;2193995;labnbo@ya.ru;;;RD1030 - MARKETED PRODUCT LAB DIAGNOSTICS;RU;RU-RUSSIA
Deloitte Consulting LLC;2293960;lfabiyanskaya@delret.ru;CS2018;Fridrikh Maria;CS2018 - COMPENSATION STUDIES & EMPLOYEE BENEFIT PLANS,CS2017 - DOMESTIC & INTERNATIONAL EMPLOYEE RELOCATION SERVICES;RU;RU-RUSSIA
Pharma-Periscope LLC;2329675;;MK3001;Mikhailina Tatiana;MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS);RU;RU-RUSSIA
ANO DPO UC Russian Register-Baltiysk;2200991;;;;[];RU;[]
Regional Public Organization;2111264;;;;[];RU;[]
Medcongress LLC;2323476;;;;[];RU;[]
Trialogue Ltd.;2319364;;;;[];RU;[]
RUSMEDIAAL EVENT LLC;2312228;;;;[];RU;[]
Upjet Travel Group LLC;2304981;o.goryaynova@upjet.com;MK2003;Mikhailina Tatiana;MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,MK2003 - EXTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2007 - EXTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2010 - INTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2011 - INTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING;RU;RU-RUSSIA
Sensitech- EMEA;2112052;znahulyak@sensitech.com;CD5009;Pakalo Grigroriy;CD5009 - SUPPLY CHAIN & DISTRIBUTION DEVICES;RU;RU-RUSSIA
PROTEK Implementation Center JSC;2045831;;;;[];RU;[]
Digital Video Production LLC;2317228;;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
UFK in g. St. Petersburg (OFK 10,;2047486;;;;[];RU;[]
MM-Forum Group of Companies LLC;2256239;;;;[];RU;[]
OO ALTAVIA RUS;2254665;;CS5004;Yaremenko Natalia;CS5004 - OFFICE PRODUCTS,MK4001 - NON-PRINTED PROMOTIONAL & EDUCATION ITEMS,MK4003 - PRINTED PROMOTIONAL MATERIAL,MK4002 - PROMOTIONAL DISPLAYS & MERCHANDISING RELATED TO SALES;RU;RU-RUSSIA
AKSENCHER LLC;2287324;olga.borisova@ax-team.com;CS4005;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS4005 - APPLICATIONS - IT SERVICES FOR PROJECTS;RU;RU-RUSSIA
Iris LLC;2285793;;;;[];RU;[]
ANO National Research;2323236;;;;[];RU;[]
DiscoveryMed LLC;2153933;;;;[];RU;[]
LLC Russian Society of Dermatove;2305988;;;;[];RU;[]
IP Shapovalyants S.A.;2300344;;;;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION;RU;RU-RUSSIA
LLC Russian Gastroenterological;2230481;;;;[];RU;[]
IOO SOCIETY FOR THE STUDY OF PAIN;2333180;;;;[];RU;[]
Luxoft Professional LLC;2277855;Larabey@IBS.RU;MK1013;Mikhailina Tatiana;MK1013 - DIGITAL MARKETING SERVICES,CS4005 - APPLICATIONS - IT SERVICES FOR PROJECTS;RU;RU-RUSSIA
LLC TSOLLRU;2231373;a.andreev@ncpharm.ru;CD5008;Pakalo Grigroriy;CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS,CD5008 - CUSTOM BROKERAGE FEES (FREIGHT);RU;RU-RUSSIA
INDEK LLC;2228563;angelkam@yandex.ru;MK2006;Mikhailina Tatiana;MK2006 - EXTERNAL - BOOTH & CONVENTIONS;RU;RU-RUSSIA
LLC Center of Scientific Advice;2301580;ivanyutina@csa.expert;RD1036;Pakalo Grigroriy;RD1036 - REGULATORY EXPERTS – INCLUDING QA AND QC;RU;RU-RUSSIA
Medforum, OOO;2072976;;;;[];RU;[]
Rusmedinfo LLC;2316821;;;;[];RU;[]
FEDERAL TREASURY DEPARTMENT MOSCOW;2025005;;CS2014;Fridrikh Maria;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION;RU;RU-RUSSIA
(YC10) ГБУЗ ЦОСАП МЗ КБР;2316044;;;;[];RU;[]
Ankom LLC;2288885;v.akelin@anten.ru;CS4003;Sviridova Irina;CS4003 - HARDWARE;RU,UZ;RU-RUSSIA
ASSOCIATION OF DERMATOVENEROLOGISTS LTD.;2329330;;;;[];RU;[]
Rusudan Birkaia;2240156;rusudanbirkaia@gmail.com;CS5036;Yaremenko Natalia;CS5036 - TRANSLATION;RU;RU-RUSSIA
IE Euro-Asian Society for Information;2264228;;;;[];RU;[]
MDK LLC;2316841;;;;[];RU;[]
NP Health Partnership Centre;2236882;;;;[];RU;[]
LLC CMP and VL KAMKOR;2292657;;;;[];RU;[]
OOO Algimed;2332599;"a.khmelevskaya@algimed.ru; k.konstantinov@algimed.ru; e.kuzmenko@algimed.ru; s.klenysheva@algimed.ru";RD2002;Pakalo Grigroriy;RD2002 - LAB REAGENTS;RU;RU-RUSSIA
LLC TS Oncology;2283180;;;;[];RU;[]
Regional Public Organization;2244934;;;;[];RU;[]
АНО Ресурсный Центр Общественного З;2333634;;;;[];RU;[]
OSG Records Management LLC;2319846;t.eltsova@osgrm.com;CS5035;Yaremenko Natalia;CS5035 - RECORD MANAGEMENT SERVICES;KZ,RU;KZ-KAZAKHSTAN,RU-RUSSIA
eApteka Ltd.;2289056;;;;[];RU;[]
Retail Transport Engineering LLC;2297262;pmedvedev@rta-rus.com;CD5003;Pakalo Grigroriy;CD5003 - DOMESTIC TRANSPORTATION;RU;RU-RUSSIA
Lion Communications LLC;2045925;;MK1012;Mikhailina Tatiana;MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL),MK1015 - COMMUNICATION AGENCIES PUBLIC RELATIONS AND PUBLIC AFFAIRS SERVICES,MK1013 - DIGITAL MARKETING SERVICES,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL);RU;RU-RUSSIA
