Event #;Event Name;Creator;Commodity;Type;Items;Base Price;участники;победитель;Winners Price;Column1
44312;Russia_2025-2027_RFP Business Travel;Maria Fridrikh;CS2009;RFP;"Hotel; Hotel; Rental Car; Transfer; Reporting; Meet and Assist; Travel insurance; Visa Facilitation; Visa Facilitation; Support 24/7; OBT/SBT Costs for Implementation of Customized Settings; Electronic Booking Tool - Traveler Training; Electronic Booking Tool Annual Maintenance Fees of Customized Settings; Electronic Help Desk Support; Mobile Application Costs for Implementation of Customized Settings; Integration Tool for data exchange (profiles, detailed trip information incl. status of a trip, authorization status incl. authorized persons, TP compliance); KPI Travel Board; Own Survey Module with KPI Online ; Customized Global Reporting; Customized Local Reporting & Business Reviews; Travel Program (Technology) Implementation (First Year); Automated Security Tracking; Local Account Management; Online Security Travel Map (current business trips, TOP-5 routes by quantity of business trips, TOP-5 routes by travel cost, TOP-5 fast growing routes); Interactive Business Intelligence Analytical platform  ; Data Driven Solution; Smart Saving Solution; Electronic Tool for Booking Visas (Integrated to OBT); Electronic Service for Post-Trip Ticket Reference (Integrated to OBT); API (create/change/cancel Business Trip by Sanofi users; Business Trip Data Integration; Service Data Integration; External Authorization; Implementation of Sanofi's own interface for searching and arranging services using API); Instant Direct Hotel Booking";4,580,000,000.00 RUB;"АО Аэроклуб; АО Континент Экспресс; ООО Альвист; ООО Вип Корпорейт Тревел";АО Аэроклуб;;
43338;Russia_2024-2027_RFP MSP Trainings;Maria Fridrikh;CS2014;RFP;"Ожидания от Managed Service Provider (MSP) модели / MSP Trainings Провайдера:
• Предоставление экспертной поддержки по выбору лучших решений по обучению и 
развитию (soft skills и функциональное обучение) для сотрудников Санофи, в тесном 
сотрудничестве с отделом People & Culture Sanofi и отделом развития и обучения Sales
Force Sanofi.
• Обеспечение оптимальной стоимости путем переговоров с провайдерами, 
использования объемных скидок, знания рынка тренеров, сферы обучения и
развития. 
• В рамках договора – работа в соответствии с согласованным SLA на стандартных 
условиях оплаты Санофи (90 календарных дней с даты приемки закрывающих 
документов на стороне Санофи), в соответствии с требованиями Compliance по 
проверке субподрядчиков.
В зону ответственности Провайдера в том числе входит:
• Провайдер консолидирует информацию от People & Culture бизнес партнеров и 
отделом развития и обучения Sales Force в единый файл, на основании которого 
организуется обучение в течение года.
• Провайдер консультирует сотрудников Санофи по выбору подходящего
субподрядчика, исходя из существующей потребности. С фокусом на онлайн решения
(если применимо), а также проводит переговоры с целью оптимизации ценового 
предложения в рамках наполнения тренинга и существующей потребности.
• Управление субподрядчиками по обучению, оценка существующих программ на 
основе качественных критериев, предоставление вариантов необходимых программ в 
соответствии с требованиями Санофи.
• Регистрация на обучение, согласование дат, уровня группы и перенос участия (если
применимо), вопросы по последующей за тренингом работе обучающихся, домашней 
работе, сертификатам и т.д. Взаимодействие с сотрудниками Санофи напрямую. Также 
возможны запросы на обеспечение логистики тренинга на внешней площадке.
• Сопровождение документооборота и ведение отчетности по запланированному и 
пройденному обучению.
• Статистика и отчетность. Ведение статистики по запланированному и прошедшему 
обучениям в течение года. Предоставление информации по обучению по запросу и на 
ежеквартальной основе.
Ориентировочные объемы:
• Плановый объём тренингов по организационному развитию и функциональным 
тренингам на 2024 год: 60
• Управление/взаимодействие с 10–15 субподрядчиками в год.";;"Ancor; Manpower; ООО ""Вентра Сервисез Си-Ай-Эс""; ООО ""Сервисы обучения""; ООО «Гет Экспертс»";"ООО ""Сервисы обучения""";;
23324;Recruitment Process Outsourcing 2022-2025, Eurasia, Turkey, Middle East-eAuction;Maria Fridrikh;CS2015;English auction;"Аутсорсинг; найм внешних сотрудников";;"Adecco; Cielo; Kelly Services; Manpower";Kelly Services;;
43740;Russia_2024-2027_RFP Medical Insurance;Maria Fridrikh;CS2018;RFP;"Медицинское страхование; ДМС; Информационная поддержки программы Санофи по поддержке здорового образа жизни с учетом установленных графических стандартов (бренд-бука) и направлений Программы TCBW (профилактика заболеваний, спортивный образ жизни, ментальное здоровье, сбалансированное питание) - электронные рассылки, статьи для внутренних соцсетей, адаптация рассылок из глобального офиса под локальные реалии. ; Организация ""Дней здоровья"" в офисе Санофи, лекций по наиболее актуальным вопросам с приглашением узкоспециализированных специалистов (например, офтальмолога, кардиолога, диетолога и т.п.), проведение обследований, консультации врачей (с анализами) в офисе сопряженно с календарем ВОЗ (день сердца, день гипертонии, день профилактики диабета, день сна и т.п.); Консультация по эргономике (оценка эргономических рисков с выдачей заключения в офрмате отчета с рекомендациями по корректции), проведение тренингов онлайн и офлайн обучений для сотрудников по вопросам эрономики дома, в автомобиле и в офисе. Пример сервиса: https://www.simkin.ru/; Обеспечить прививки для сотрудников в случае, если предстоит командировка в страны, где они обязательны или рекомендованы (например, Африка, Азия, Южная Америка); Возможность привлечения тренера ЛФК (для проведения сессий в офисе компании или онлайн) - упражения, направленные на корркцию остеохандроза; Онлайн консультации с диетологом (опция) по сбалансированному питанию; Организация массажа в офисе (шейно-воротниковая зона как минимум) с периодичностью 1-2 раза в неделю; Профосмотр_химико-токсикологическое исследование; Осмотр врачом-офтальмологом; контроль на дальтонизм.; Профилактический осмотр врачом - офтальмологом; Периодический медицинский осмотр согласно приказу 29 н, Раздел 1 п.1.52 (женщины); Периодический медицинский осмотр согласно приказу 29 н, Раздел 1 п.1.52 Раздел 6, доп. пункты (женщины); Периодический медицинский осмотр согласно приказу 29 н, Раздел 1 п.1.52 (мужчины); Периодический медицинский осмотр согласно приказу 29 н, Раздел 1 п.1.52 Раздел 6, доп. пункты (мужчины); Маммография; УЗИ органов малого таза (женщины); Анализ крови -ретикулоциты, базофильная зернистость эритроцитов, время кровотечения 2.Биохимические анализы крови АЛТ, АСТ,билирубин, мочевина, креатинин 3.УЗИ органов брюшной полости и почек (женщины); Информационная поддержки программы Санофи по поддержке здорового образа жизни с учетом установленных графических стандартов (бренд-бука) и направлений Программы TCBW (профилактика заболеваний, спортивный образ жизни, ментальное здоровье, сбалансированное питание) - электронные рассылки, статьи для внутренних соцсетей, адаптация рассылок из глобального офиса под локальные реалии. ; Организация ""Дней здоровья"" в офисе Санофи, лекций по наиболее актуальным вопросам с приглашением узкоспециализированных специалистов (например, офтальмолога, кардиолога, диетолога и т.п.), проведение обследований, консультации врачей (с анализами) в офисе сопряженно с календарем ВОЗ (день сердца, день гипертонии, день профилактики диабета, день сна и т.п.); Консультация по эргономике (оценка эргономических рисков с выдачей заключения в офрмате отчета с рекомендациями по корректции), проведение тренингов онлайн и офлайн обучений для сотрудников по вопросам эрономики дома, в автомобиле и в офисе. Пример сервиса: https://www.simkin.ru/; Обеспечить прививки для сотрудников в случае, если предстоит командировка в страны, где они обязательны или рекомендованы (например, Африка, Азия, Южная Америка); Возможность привлечения тренера ЛФК (для проведения сессий в офисе компании или онлайн) - упражения, направленные на корркцию остеохандроза; Онлайн консультации с диетологом (опция) по сбалансированному питанию; Организация массажа в офисе (шейно-воротниковая зона как минимум) с периодичностью 1-2 раза в неделю";140,000,000.00 RUB;"AO ""Страховая компания ""Бестиншур""; ООО «Зетта Страхование Жизни»; ООО «СК «Ингосстрах - Жизнь»; ПАО «Группа Ренессанс Страхование»";ООО «Зетта Страхование Жизни»;;
31304;Eurasia_2022-2025_Compensation & Benefits_Gifts for employees;Maria Fridrikh;CS2018;RFP;"Компенсация корпоративным сотрудникам; Мотивационная стратегия для сотрудников; Услуга по оформлению покупки 1 электронного сертификата/подарка; Услуга оформления покупки подарков до 50 подарков/электронных сертификатов в едином заказе (общей стоимостью 250 000 руб. без НДС) ; Услуга оформления покупки подарков/электронных сертификатов от 1 600 и выше в едином заказе (общей стоимостью 8 000 0000 руб. без НДС и выше); Постоплата с даты акта оказанных услуг (календарных дней); Возможность фиксации комиссии в локальной валюте (рубли) на 3 года; Налоговый учет ведется с НДС/без НДС; Стоимость доставки электронных сертификатов (в том числе массовая рассылка 1 600 сертификатов за один рабочий день) ; Стоимость доставки физических подарков";;"АО Континент Экспресс; ЗАО Интерсити Сервис; ООО ""ГИФТЕРИ.РУ""; ООО «Интернет Решения»; ООО «Препейд Солюшенс»; 	ООО Аэроклуб Тур";ЗАО Интерсити Сервис;;
45432;eAuction_Russia_2024-2027_Medical Insurance;Maria Fridrikh;CS2018;English auction;"Услуга по оформлению покупки 1 электронного сертификата/подарка; Услуга оформления покупки подарков до 50 подарков/электронных сертификатов в едином заказе (общей стоимостью 250 000 руб. без НДС) ; Услуга оформления покупки подарков/электронных сертификатов от 1 600 и выше в едином заказе (общей стоимостью 8 000 0000 руб. без НДС и выше); Постоплата с даты акта оказанных услуг (календарных дней); Возможность фиксации комиссии в локальной валюте (рубли) на 3 года; Налоговый учет ведется с НДС/без НДС; Стоимость доставки электронных сертификатов (в том числе массовая рассылка 1 600 сертификатов за один рабочий день) ; Стоимость доставки физических подарков";140,000,000.00 RUB;"АО ""Страховая компания ""Бестиншур""; ООО «Зетта Страхование Жизни»; ООО «СК «Ингосстрах - Жизнь»";ООО «Зетта Страхование Жизни»;1,008,458,769.00 RUB;
38144;Russia_2024-2025_Managed Services (External Workforce);Maria Fridrikh;CS2022;RFP;"Аутсорсинг; найм внешних сотрудников";180,000,000.00 RUB;"АО ""Аванта"" (Avanta); ООО ""АНКОР ФИНТЕК""; ООО ""ВЕНТРА СЕРВИСЕЗ СИ-АЙ-ЭС""; ООО ""Ланта"" (Lanta Talent Solutions)";"ООО ""ВЕНТРА СЕРВИСЕЗ СИ-АЙ-ЭС""";;
49112;Lenovo Apple purchase 2025;Igor Firsov;CS4003;English auction;"LENOVO Laptop - ThinkPad T14 Gen 5 AMD; LENOVO ThinkCentre M75s SFF 32 GB RAM; LENOVO ThinkVision P27h-30 (with integrated USB-С hub); LENOVO ThinkVision T24m-29 (with integrated USB-С hub); APPLE iPad 10 (2022) 10,9’’ with simcard 256 Gb";555,441.00 USD;"ООО Анком; ООО Комус; ООО МАКАРУН; ПАО Мобильные ТелеСистемы";ООО Анком;545,880.00 USD;
31141;RU_Auction_Laptops_2022_2023;Irina Bakhareva;CS4003;English auction;"X13 Gen 3; T14 Gen 3; P16 Gen 1; P27h-20; M75q Gen 2";60,000,000.00 RUB;"ICL; Ankom; Apple Tech";ICL;63,497,545.00 RUB;
30798;RU_RFP_Hardware Maintenance 2023_2025;Irina Bakhareva;CS4012;RFP;"IP Server; IP Router; IP Switch; Network Appliance Hardware; Mass Storage Device";10,000,000.00 RUB;"ATOS; ICL; Техноформика; BITs; Интеграция; Ancom; AUXO";ICL;8739000 RUB;
12436;Furniture RFP_Moscow project ;Natalya Yaremenko;CS5003;RFP;"Furniture by BoQ; Office Furniture";109,266,000.00 RUB;"Flaigroup; Steel case; Techo";Techo;93,807,696.00 RUB;
28883;RU_RFP_Office Products 2022_2026;Irina Bakhareva;CS5004;RFP;"Офисная бумага; Канцтовары; Офисные продукты (чай, антисептик, фильтры, приправа)";12,000,000.00 RUB;"Komus; Yandex; САМСОН; ОФСИ; iFCM; ОФИСМАГ";Komus;11980070 RUB;
9426;Office supplies, office goods_Moscow;Natalya Yaremenko;CS5004;RFP;"КОНВЕРТ СТАНДАРТНЫЙ, C4, 324X229ММ, 90Г/КВМ, С ОТРЫВНОЙ ПОЛОСОЙ, БЕЛЫЙ, ВХОД ПО ДЛИННОЙ СТОРОНЕ, С СЕРОЙ ЗАПЕЧАТКОЙ, ALLCOUVERT, (500) (цена за штуку из упаковки); КОНВЕРТ, C4, 324Х229ММ, БУМАГА БЕЛАЯ 100Г/КВМ, ВХОД ПО ДЛИННОЙ СТОРОНЕ, ОТРЫВНАЯ ПОЛОСА, ЧЕРНАЯ ПИН-ЗЕПЕЧАТКА, KURTSTRIP SECURITY, KURT, (500) (цена за шт. из упаковки); БУМАГА ОФИСНАЯ, БЕЛАЯ, А4, 80Г/КВМ, КЛАСС С, БЕЛИЗНА 146%, SVETOCOPY, INTERNATIONAL PAPER, (5/240) (стоимость указано до изменения стоимости от производителя / фиксированная на 6 месяцев); БЛОКНОТ ДЛЯ ФЛИПЧАРТА (МОЛЬБЕРТ-ПОДСТАВКА), 900Х600ММ, БУМАГА БЕЛАЯ (КЛЕТКА) 65Г/КВМ, 20 ЛИСТОВ, OFFICESPACE, (1/5) - цена за шт.; ОБЛОЖКИ ДЛЯ БРОШЮРОВКИ (ПЕРЕПЛЕТА), ПВХ, ПРОЗРАЧНЫЕ, А4, 200 МК, ACCO, REXEL цена за 1 уп. (100 шт.); ПРУЖИНЫ ДЛЯ БРОШЮРОВКИ, ПЛАСТИК, 10 ММ (3/8), БЕЛЫЕ, DSB, КРУГЛЫЕ КОЛЬЦА, (100) - УПАК/100; САЛФЕТКИ ЧИСТЯЩИЕ, ДЛЯ ЭКРАНОВ, ВЛАЖНЫЕ, КРЕПИРОВАННАЯ БУМАГА, В ТУБЕ, OPTIMA, DEFENDER, (12) - УПАК/100; БАТАРЕЙКА АЛКАЛИНОВАЯ, ТИПОРАЗМЕР AA/316/LR6, НАПРЯЖЕНИЕ 1.5В, BL-12, (LR6 BP-12), ERGOLUX, (80) УПАК/12; КАРМАН НАГРУДНЫЙ ДЛЯ ИМЕННОЙ КАРТОЧКИ (БЕЙДЖ), С МЕТАЛЛИЧЕСКИМ ПОВОРОТНЫМ КЛИПОМ-ПРИЩЕПКОЙ, ГОРИЗОНТАЛЬНЫЙ, 90Х60ММ, ПВХ, ПРОЗРАЧНЫЙ ГЛЯНЦЕВЫЙ, 8003-19, DURABLE, (25); ПЕРЕЦ ЧЕРНЫЙ, МОЛОТЫЙ, 32Г, В СТЕКЛЕ, KOTANYI; КОФЕ РАСТВОРИМЫЙ СУБЛИМИРОВАННЫЙ С ДОБАВЛЕНИЕМ МОЛОТОГО, С/Б 190 Г, СТЕКЛЯННАЯ БАНКА, NESCAFE GOLD, NESTLE, (6); ФИЛЬТРЫ ДЛЯ КОФЕВАРКИ, БУМАЖНЫЕ, НЕБЕЛЕНЫЕ, УНИВЕРСАЛЬНЫЙ РАЗМЕР, CEDO, PACLAN, (18) УПАК/80; ПАПКА-СКОРОСШИВАТЕЛЬ С УСИКАМИ, А4, ПОЛИПРОПИЛЕН, 120/160МКМ, цвет в ассортименте";6,000,000.00 AED;"Komus; Ambiz";Ambiz;3,269,081.30 RUB;
30101;RU_RFP_Coffee Services_Sep'22-Sep'25;Irina Bakhareva;CS5005;RFP;"Кофе жареный в зернах; Кофе молотый  500 - 200 гр. (в зависимости от упаковки поставщика) ; Стакан бумажный 200 мл.. 250 мл; Стакан пластиковый 200 мл.. 250 мл (полипропилен); Кофе без кофеина в зернах; Кофе без кофеина молотый; Крупнолистовой чай, зеленый, включая заварочные пакетики; Крупнолистовой чай, черный, включая заварочные пакетики";800000 RUB;"Юлиус Майнл Руссланд; Фортеко; iFCM; Nestle; ООО Комус; Кофейные нотки";Кофейные нотки;;
31208;RU_Auction_Coffee solution_2022_2025;Irina Bakhareva;CS5005;English auction;"Кофе жареный в зернах; Кофе молотый  500 - 200 гр. (в зависимости от упаковки поставщика) ; Стакан бумажный 200 мл.. 250 мл; Стакан пластиковый 200 мл.. 250 мл (полипропилен); Кофе без кофеина в зернах; Кофе без кофеина молотый; Крупнолистовой чай, зеленый, включая заварочные пакетики; Крупнолистовой чай, черный, включая заварочные пакетики";2,500,000.00 RUB;"ООО Юлиус Майнл Руссланд; ООО Комус; АБ-Логистика (Кофейные Нотки)";ООО Юлиус Майнл Руссланд;2,205,724.00 RUB;
43863;RU_RFP_HSE;Irina Bakhareva;CS5008;RFP;"Специалист по охране труда + Старший/Ведущий специалист по охране труда; Общая стоимость услуги по охране труда + импланты / вкл. работу во внутренней электронной системе документооборота и отчетности";12,000,000.00 RUB;"АО Юникон Бизнес Сервис; Серконс; Юнистафф; Первый Партнер Охраны Труда; ООО ОХРАПРО; ПромМаш Тест; BLS Outsourcing";АО Юникон Бизнес Сервис;11980070 RUB;
35871;RU_MSK_RFP_Security Services__2023_2026;Irina Bakhareva;CS5008;RFP;"Услуги по личной охране и сопровождению VIP персон, включая предоставление VIP автомобилей и автомобилей сопровождения (выделяется отдельно в коммерческом предложении участника тендера); Услуга обеспечения безопасности выездных мероприятий заказчика в регионах РФ-(выделяется отдельно в коммерческом предложении участника тендера)";8,500,000.00 RUB;"ООО ОП Элит Секьюрити; ООО ЧОО «МИГ-2003»; ООО Частное охранное предприятие ""Красный шторм""; ООО Частная охранная организация РУСЬ-М15; ООО Частное охранное предприятие Красный шторм";ООО ОП Элит Секьюрити;8320000 RUB;
13565;Security Services_Moscow;Natalya Yaremenko;CS5008;RFP;"Услуги по личной охране и сопровождению VIP персон, включая предоставление VIP автомобилей и автомобилей сопровождения (выделяется отдельно в коммерческом предложении участника тендера); Услуга обеспечения безопасности выездных мероприятий заказчика в регионах РФ-(выделяется отдельно в коммерческом предложении участника тендера)";5,148,000.00 RUB;"Elit Security; RUS-M15; Red storm; MIG";Elit Security;6,130,212.00 RUB;
